,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
4735,B,ab,Maintenance,50,low
4736,B,aa,Maintenance,34,low
4737,C,ac,Project Management,9,high
4738,C,ad,Project Management,19,high
4739,D,ad,Project Management,5,high
4740,C,ae,Project Management,6,high
4741,C,ab,Engineer,21,medium
4742,B,ad,Engineer,24,medium
4743,C,ad,Engineer,33,medium
4744,D,ac,Engineer,6,high
4745,B,ad,Maintenance,17,medium
4746,A,ac,Project Management,40,low
4747,B,ac,Maintenance,45,low
4748,C,ac,Project Management,8,high
4749,A,ac,Project Management,51,low
4750,C,ae,Engineer,4,high
4751,C,ab,Project Management,17,medium
4752,C,ad,Project Management,23,medium
4753,A,ac,Project Management,29,low
4754,C,ae,Project Management,20,high
4755,C,ac,Engineer,8,high
4756,B,ab,Maintenance,17,medium
4757,C,ab,Project Management,28,medium
4758,B,ab,Maintenance,26,medium
4759,B,ad,Maintenance,24,medium
4760,A,ac,Maintenance,28,low
4761,B,ab,Project Management,32,low
4762,D,ae,Project Management,20,high
4763,A,ac,Project Management,37,low
4764,A,aa,Project Management,29,low
4765,D,ac,Engineer,4,high
4766,B,ac,Project Management,35,low
4767,C,ac,Project Management,32,medium
4768,B,ac,Project Management,20,medium
4769,C,ad,Project Management,16,high
4770,B,ad,Maintenance,17,medium
4771,A,ab,Maintenance,35,low
4772,C,ad,Maintenance,28,medium
4773,B,ac,Project Management,42,low
4774,A,ab,Project Management,43,low
4775,D,ad,Engineer,4,high
4776,B,ab,Maintenance,30,medium
4777,C,ab,Project Management,18,medium
4778,B,ab,Project Management,35,medium
4779,B,aa,Project Management,28,low
4780,C,ab,Maintenance,20,medium
4781,B,aa,Maintenance,32,low
4782,A,aa,Project Management,36,low
4783,B,ac,Project Management,36,low
4784,C,ad,Engineer,18,medium
4785,C,ad,Project Management,33,medium
4786,A,ac,Project Management,29,low
4787,C,ab,Engineer,25,medium
4788,C,ab,Project Management,33,medium
4789,D,ac,Engineer,8,high
4790,D,ac,Project Management,6,high
4791,A,ac,Maintenance,30,low
4792,B,ac,Maintenance,35,low
4793,C,ac,Project Management,10,high
4794,A,ac,Maintenance,44,low
4795,B,ab,Maintenance,15,medium
4796,B,ad,Maintenance,27,medium
4797,C,ab,Project Management,21,medium
4798,A,ab,Maintenance,50,low
4799,C,ac,Project Management,16,high
4800,C,ad,Project Management,21,high
4801,D,ac,Project Management,17,high
4802,B,ac,Maintenance,33,low
4803,D,ad,Engineer,18,high
4804,C,ad,Project Management,18,high
4805,D,ac,Project Management,15,high
4806,C,ab,Project Management,34,medium
4807,C,ad,Engineer,4,high
4808,D,ae,Project Management,4,high
4809,B,ac,Engineer,23,medium
4810,C,ae,Project Management,12,high
4811,D,ae,Project Management,20,high
4812,C,ac,Engineer,10,high
4813,B,aa,Project Management,38,low
4814,B,ab,Engineer,25,medium
4815,B,ab,Maintenance,33,medium
4816,B,ab,Maintenance,22,medium
4817,D,ac,Project Management,21,high
4818,C,ad,Engineer,14,high
4819,B,ac,Project Management,40,low
4820,D,ad,Project Management,14,high
4821,A,ab,Project Management,51,low
4822,B,ab,Project Management,30,low
4823,B,aa,Project Management,28,low
4824,D,ae,Project Management,8,high
4825,B,ac,Engineer,25,medium
4826,C,ae,Project Management,4,high
4827,D,ac,Engineer,16,high
4828,B,ab,Engineer,16,medium
4829,B,ac,Project Management,29,medium
4830,B,ab,Engineer,22,medium
4831,C,ac,Engineer,13,high
4832,D,ac,Project Management,11,high
4833,C,ac,Project Management,14,high
4834,C,ac,Project Management,7,high
4835,B,ac,Maintenance,50,low
4836,C,ac,Project Management,21,medium
4837,D,ac,Project Management,17,high
4838,B,ab,Project Management,25,medium
4839,D,ad,Engineer,17,high
4840,C,ac,Project Management,11,high
4841,C,ab,Maintenance,31,medium
4842,B,ac,Project Management,45,low
4843,C,ab,Engineer,29,medium
4844,D,ad,Project Management,14,high
4845,C,ab,Maintenance,30,medium
4846,C,ab,Engineer,19,medium
4847,A,ac,Project Management,33,low
4848,C,ac,Engineer,3,high
4849,A,ac,Maintenance,35,low
4850,C,ad,Project Management,11,high
4851,A,ab,Maintenance,36,low
4852,B,ab,Project Management,32,low
4853,A,aa,Project Management,43,low
4854,B,ab,Project Management,43,low
4855,D,ae,Engineer,10,high
4856,C,ad,Project Management,9,high
4857,C,ab,Project Management,33,medium
4858,C,ac,Project Management,14,high
4859,A,ac,Project Management,36,low
4860,C,ac,Engineer,22,medium
4861,B,ad,Project Management,25,medium
4862,B,ac,Project Management,24,medium
4863,C,ae,Engineer,4,high
4864,C,ae,Project Management,10,high
4865,D,ac,Project Management,10,high
4866,D,ad,Project Management,20,high
4867,B,ab,Project Management,18,medium
4868,B,ab,Project Management,32,low
4869,B,ab,Maintenance,28,medium
4870,B,ab,Maintenance,39,low
4871,C,ac,Project Management,19,medium
4872,A,aa,Project Management,42,low
4873,B,ab,Project Management,16,medium
4874,C,ad,Project Management,12,high
4875,D,ae,Engineer,22,high
4876,A,ab,Maintenance,30,low
4877,B,ad,Engineer,22,medium
4878,C,ad,Project Management,20,medium
4879,C,ad,Project Management,6,high
4880,D,ae,Project Management,13,high
4881,B,ab,Maintenance,31,low
4882,C,ac,Project Management,21,high
4883,C,ad,Project Management,5,high
4884,C,ac,Engineer,6,high
4885,C,ac,Engineer,7,high
4886,C,ac,Project Management,16,medium
4887,C,ae,Project Management,15,high
4888,A,aa,Project Management,41,low
4889,C,ab,Engineer,17,medium
4890,A,ab,Maintenance,29,low
4891,C,ab,Project Management,16,medium
4892,B,ab,Engineer,16,medium
4893,A,aa,Maintenance,38,low
4894,C,ad,Project Management,18,high
4895,A,ab,Maintenance,42,low
4896,C,ac,Project Management,21,high
4897,C,ad,Maintenance,21,medium
4898,B,ac,Maintenance,45,low
4899,B,ab,Engineer,27,medium
4900,B,ac,Project Management,28,low
4901,B,ab,Engineer,32,medium
4902,B,ab,Project Management,33,low
4903,A,ab,Project Management,31,low
4904,C,ae,Project Management,17,high
4905,C,ab,Project Management,16,medium
4906,C,ac,Maintenance,18,medium
4907,A,ab,Project Management,32,low
4908,C,ab,Maintenance,31,medium
4909,B,ab,Project Management,34,low
4910,B,ab,Maintenance,37,low
4911,C,ac,Engineer,5,high
4912,C,ab,Engineer,28,medium
4913,C,ab,Engineer,20,medium
4914,B,ac,Engineer,25,medium
4915,C,ac,Engineer,15,high
4916,D,ac,Engineer,5,high
4917,D,ac,Engineer,12,high
4918,B,ab,Project Management,51,low
4919,C,ad,Project Management,7,high
4920,C,ae,Engineer,22,high
4921,C,ac,Engineer,15,medium
4922,B,aa,Maintenance,50,low
4923,A,ac,Project Management,46,low
4924,B,aa,Maintenance,42,low
4925,A,ac,Project Management,49,low
4926,B,ab,Project Management,41,low
4927,B,ab,Project Management,32,low
4928,C,ae,Project Management,15,high
4929,B,ab,Project Management,35,medium
4930,C,ab,Project Management,18,medium
4931,C,ab,Maintenance,24,medium
4932,D,ad,Engineer,8,high
4933,B,ab,Project Management,46,low
4934,C,ab,Project Management,19,medium
4935,B,ad,Project Management,23,medium
4936,D,ac,Engineer,22,high
4937,B,ac,Project Management,26,medium
4938,B,ac,Engineer,26,medium
4939,A,ab,Project Management,41,low
4940,B,ad,Maintenance,17,medium
4941,D,ad,Engineer,7,high
4942,A,ac,Maintenance,36,low
4943,B,ab,Engineer,18,medium
4944,B,ac,Maintenance,31,low
4945,B,ab,Maintenance,40,low
4946,B,ad,Maintenance,15,medium
4947,A,ab,Project Management,52,low
4948,C,ab,Engineer,18,medium
4949,D,ad,Project Management,22,high
4950,C,ab,Project Management,24,medium
4951,B,ad,Maintenance,28,medium
4952,A,ab,Maintenance,47,low
4953,C,ad,Project Management,7,high
4954,C,ae,Engineer,5,high
4955,D,ae,Engineer,22,high
4956,C,ae,Project Management,14,high
4957,B,ab,Project Management,41,low
4958,B,ac,Engineer,29,medium
4959,C,ad,Engineer,22,medium
4960,C,ae,Project Management,8,high
4961,A,aa,Project Management,39,low
4962,D,ac,Engineer,13,high
4963,D,ad,Engineer,16,high
4964,A,ab,Project Management,48,low
4965,B,ac,Project Management,28,low
4966,C,ac,Engineer,11,high
4967,D,ae,Project Management,3,high
4968,B,ab,Maintenance,26,medium
4969,D,ac,Engineer,18,high
4970,C,ae,Project Management,16,high
4971,C,ad,Engineer,29,medium
4972,C,ab,Maintenance,19,medium
4973,C,ad,Engineer,8,high
4974,A,ac,Maintenance,40,low
4975,B,ad,Maintenance,30,medium
4976,B,ab,Engineer,17,medium
4977,D,ad,Engineer,4,high
4978,C,ae,Engineer,20,high
4979,D,ac,Engineer,21,high
4980,A,aa,Project Management,51,low
4981,B,ab,Maintenance,36,low
4982,C,ab,Maintenance,23,medium
4983,D,ac,Project Management,15,high
4984,C,ac,Project Management,22,high
4985,B,ab,Maintenance,40,low
4986,B,aa,Maintenance,52,low
4987,B,ac,Project Management,47,low
4988,D,ae,Engineer,17,high
4989,B,ac,Project Management,27,medium
4990,D,ae,Engineer,13,high
4991,B,aa,Project Management,40,low
4992,C,ac,Project Management,11,high
4993,C,ab,Project Management,23,medium
4994,A,ac,Maintenance,38,low
4995,C,ac,Project Management,16,medium
4996,D,ae,Project Management,9,high
4997,D,ac,Engineer,13,high
4998,D,ae,Project Management,16,high
4999,C,ac,Engineer,29,medium
5000,C,ab,Engineer,15,medium
5001,D,ac,Project Management,13,high
5002,D,ae,Engineer,3,high
5003,B,ab,Maintenance,31,low
5004,C,ab,Maintenance,34,medium
5005,B,ac,Project Management,24,medium
5006,C,ae,Engineer,21,high
5007,C,ac,Engineer,22,high
5008,C,ae,Project Management,16,high
5009,C,ac,Project Management,26,medium
5010,B,aa,Maintenance,31,low
5011,D,ad,Engineer,18,high
5012,B,aa,Maintenance,46,low
5013,A,ac,Maintenance,37,low
5014,D,ac,Project Management,16,high
5015,B,ab,Engineer,17,medium
5016,B,ad,Maintenance,20,medium
5017,B,aa,Project Management,52,low
5018,C,ac,Engineer,24,medium
5019,B,ab,Project Management,39,low
5020,C,ac,Engineer,7,high
5021,D,ad,Engineer,11,high
5022,B,ab,Engineer,23,medium
5023,C,ae,Engineer,20,high
5024,A,aa,Maintenance,37,low
5025,B,ac,Project Management,32,low
5026,B,ac,Maintenance,52,low
5027,B,ac,Maintenance,43,low
5028,B,ac,Project Management,34,medium
5029,B,ab,Engineer,24,medium
5030,D,ad,Engineer,16,high
5031,C,ae,Engineer,9,high
5032,B,aa,Maintenance,47,low
5033,C,ac,Engineer,17,high
5034,C,ac,Engineer,33,medium
5035,C,ae,Project Management,9,high
5036,A,ac,Project Management,49,low
5037,B,ac,Maintenance,33,low
5038,B,aa,Project Management,45,low
5039,C,ab,Maintenance,29,medium
5040,C,ac,Maintenance,25,medium
5041,B,aa,Project Management,34,low
5042,D,ae,Engineer,21,high
5043,B,ab,Project Management,30,low
5044,B,ab,Maintenance,47,low
5045,C,ac,Project Management,35,medium
5046,C,ac,Engineer,18,high
5047,D,ad,Project Management,18,high
5048,C,ae,Project Management,4,high
5049,D,ae,Project Management,5,high
5050,C,ab,Engineer,28,medium
5051,C,ad,Project Management,22,high
5052,B,ad,Engineer,27,medium
5053,A,ab,Maintenance,36,low
5054,A,aa,Maintenance,38,low
5055,B,ab,Maintenance,39,low
5056,A,ac,Maintenance,41,low
5057,D,ae,Project Management,12,high
5058,B,ab,Maintenance,34,low
5059,D,ad,Engineer,6,high
5060,B,ab,Maintenance,19,medium
5061,B,ab,Project Management,15,medium
5062,A,ab,Maintenance,33,low
5063,A,ab,Maintenance,45,low
5064,B,ac,Engineer,27,medium
5065,C,ab,Engineer,31,medium
5066,A,ac,Project Management,42,low
5067,A,ab,Project Management,39,low
5068,B,ad,Engineer,18,medium
5069,A,ab,Project Management,43,low
5070,C,ae,Project Management,14,high
5071,D,ae,Project Management,22,high
5072,B,ab,Maintenance,50,low
5073,B,ab,Maintenance,29,low
5074,B,ab,Project Management,42,low
5075,A,ac,Project Management,34,low
5076,A,ac,Project Management,50,low
5077,B,ac,Project Management,41,low
5078,D,ae,Engineer,15,high
5079,B,ac,Maintenance,17,medium
5080,C,ab,Maintenance,24,medium
5081,A,ac,Maintenance,43,low
5082,B,ac,Maintenance,45,low
5083,D,ac,Project Management,3,high
5084,D,ad,Engineer,11,high
5085,A,ab,Project Management,43,low
5086,C,ae,Engineer,4,high
5087,B,aa,Project Management,29,low
5088,D,ad,Engineer,16,high
5089,C,ae,Project Management,12,high
5090,B,ad,Project Management,18,medium
5091,D,ac,Engineer,15,high
5092,D,ad,Project Management,21,high
5093,C,ae,Engineer,11,high
5094,B,ad,Maintenance,21,medium
5095,D,ae,Engineer,11,high
5096,B,ac,Maintenance,33,low
5097,D,ac,Engineer,12,high
5098,B,ab,Project Management,38,low
5099,C,ac,Maintenance,22,medium
5100,C,ae,Engineer,8,high
5101,C,ac,Engineer,17,high
5102,B,aa,Project Management,37,low
5103,C,ae,Engineer,16,high
5104,A,aa,Maintenance,48,low
5105,D,ae,Project Management,16,high
5106,C,ab,Maintenance,33,medium
5107,B,ab,Engineer,31,medium
5108,D,ad,Engineer,18,high
5109,B,ac,Project Management,30,medium
5110,D,ae,Engineer,6,high
5111,D,ae,Project Management,7,high
5112,D,ac,Project Management,10,high
5113,B,ad,Engineer,15,medium
5114,B,ac,Project Management,33,low
5115,C,ac,Project Management,15,high
5116,C,ad,Maintenance,24,medium
5117,B,ab,Maintenance,41,low
5118,C,ab,Maintenance,15,medium
5119,B,ad,Project Management,17,medium
5120,D,ac,Project Management,3,high
5121,C,ab,Engineer,30,medium
5122,C,ad,Project Management,19,medium
5123,B,ab,Project Management,30,low
5124,B,ac,Project Management,46,low
5125,C,ae,Project Management,8,high
5126,D,ad,Project Management,19,high
5127,D,ac,Project Management,10,high
5128,B,ad,Maintenance,26,medium
5129,B,ac,Project Management,39,low
5130,B,ab,Project Management,49,low
5131,A,aa,Project Management,34,low
5132,A,ac,Project Management,36,low
5133,A,ac,Project Management,31,low
5134,B,ac,Project Management,37,low
5135,C,ac,Project Management,15,high
5136,C,ac,Engineer,27,medium
5137,B,ab,Project Management,21,medium
5138,C,ac,Project Management,11,high
5139,B,ad,Engineer,17,medium
5140,B,ac,Engineer,34,medium
5141,C,ad,Project Management,18,medium
5142,B,ac,Maintenance,41,low
5143,A,ac,Project Management,46,low
5144,C,ad,Maintenance,31,medium
5145,B,ab,Engineer,35,medium
5146,A,ac,Project Management,45,low
5147,B,aa,Project Management,51,low
5148,C,ad,Engineer,24,medium
5149,A,ab,Maintenance,39,low
5150,C,ac,Project Management,15,high
5151,A,aa,Maintenance,33,low
5152,B,ad,Maintenance,26,medium
5153,C,ae,Project Management,21,high
5154,C,ac,Engineer,18,medium
5155,B,ab,Maintenance,46,low
5156,B,aa,Maintenance,37,low
5157,B,ab,Maintenance,37,low
5158,C,ad,Engineer,20,high
5159,C,ae,Engineer,18,high
5160,C,ab,Maintenance,30,medium
5161,B,aa,Project Management,39,low
5162,D,ad,Project Management,22,high
5163,B,ad,Project Management,35,medium
5164,C,ac,Engineer,18,high
5165,A,aa,Maintenance,38,low
5166,D,ac,Engineer,5,high
5167,C,ab,Project Management,25,medium
5168,B,ab,Project Management,32,low
5169,C,ad,Engineer,9,high
5170,D,ae,Project Management,22,high
5171,B,ac,Project Management,18,medium
5172,C,ac,Project Management,9,high
5173,B,ac,Project Management,18,medium
5174,C,ae,Engineer,22,high
5175,C,ac,Maintenance,34,medium
5176,C,ac,Engineer,20,high
5177,A,aa,Maintenance,48,low
5178,C,ac,Engineer,17,high
5179,D,ad,Project Management,3,high
5180,C,ac,Maintenance,17,medium
5181,B,aa,Maintenance,29,low
5182,C,ac,Engineer,28,medium
5183,B,ac,Project Management,47,low
5184,C,ad,Engineer,17,high
5185,D,ae,Engineer,3,high
5186,B,ab,Maintenance,28,medium
5187,B,ac,Maintenance,31,low
5188,A,ab,Maintenance,32,low
5189,C,ac,Project Management,25,medium
5190,C,ad,Engineer,23,medium
5191,B,ac,Project Management,45,low
5192,B,ad,Maintenance,28,medium
5193,B,aa,Project Management,31,low
5194,B,ab,Project Management,19,medium
5195,B,ab,Maintenance,40,low
5196,B,ab,Maintenance,19,medium
5197,B,ad,Project Management,22,medium
5198,B,ac,Maintenance,38,low
5199,C,ac,Engineer,6,high
5200,B,ac,Engineer,29,medium
5201,D,ac,Project Management,13,high
5202,A,ac,Project Management,36,low
5203,D,ad,Engineer,6,high
5204,B,ab,Project Management,52,low
5205,B,ad,Project Management,30,medium
5206,C,ab,Maintenance,16,medium
5207,B,aa,Maintenance,52,low
5208,C,ad,Engineer,11,high
5209,B,ad,Maintenance,30,medium
5210,A,aa,Maintenance,51,low
5211,C,ae,Project Management,6,high
5212,A,aa,Maintenance,44,low
5213,B,ac,Engineer,17,medium
5214,B,aa,Project Management,44,low
5215,C,ab,Maintenance,23,medium
5216,C,ae,Engineer,22,high
5217,B,ab,Project Management,23,medium
5218,B,ac,Maintenance,20,medium
5219,D,ad,Project Management,8,high
5220,D,ac,Engineer,7,high
5221,C,ae,Engineer,3,high
5222,A,ab,Project Management,42,low
5223,D,ae,Engineer,6,high
5224,A,ac,Maintenance,32,low
5225,B,ad,Engineer,16,medium
5226,B,ad,Engineer,33,medium
5227,B,ac,Engineer,26,medium
5228,A,aa,Maintenance,45,low
5229,A,aa,Maintenance,43,low
5230,A,aa,Project Management,42,low
5231,C,ac,Project Management,15,high
5232,C,ac,Project Management,16,high
5233,C,ac,Engineer,31,medium
5234,B,ac,Maintenance,29,medium
5235,A,aa,Maintenance,52,low
5236,A,aa,Project Management,31,low
5237,B,ab,Maintenance,29,low
5238,B,ab,Project Management,50,low
5239,B,ac,Project Management,32,low
5240,A,ac,Maintenance,31,low
5241,A,aa,Project Management,39,low
5242,B,aa,Project Management,39,low
5243,B,ac,Project Management,31,low
5244,B,ab,Project Management,47,low
5245,A,aa,Maintenance,36,low
5246,C,ae,Engineer,14,high
5247,B,aa,Maintenance,49,low
5248,C,ad,Project Management,10,high
5249,C,ad,Maintenance,22,medium
5250,B,ab,Project Management,42,low
5251,B,ac,Project Management,36,low
5252,A,ac,Maintenance,49,low
5253,C,ac,Maintenance,15,medium
5254,B,ac,Maintenance,42,low
5255,C,ad,Engineer,12,high
5256,B,ac,Project Management,45,low
5257,C,ad,Project Management,3,high
5258,A,ac,Project Management,29,low
5259,B,ab,Engineer,28,medium
5260,C,ae,Engineer,18,high
5261,B,ab,Project Management,47,low
5262,A,ac,Project Management,35,low
5263,B,ab,Project Management,48,low
5264,C,ab,Maintenance,26,medium
5265,C,ad,Project Management,19,medium
5266,C,ad,Project Management,9,high
5267,B,ad,Maintenance,25,medium
5268,B,ac,Engineer,15,medium
5269,D,ac,Engineer,16,high
5270,C,ac,Engineer,20,medium
5271,C,ac,Engineer,18,high
5272,B,ac,Maintenance,35,low
5273,A,ab,Project Management,52,low
5274,C,ac,Engineer,13,high
5275,C,ae,Engineer,7,high
5276,A,ac,Project Management,52,low
5277,B,ac,Engineer,35,medium
5278,B,ad,Engineer,18,medium
5279,B,ad,Maintenance,32,medium
5280,B,ac,Project Management,25,medium
5281,B,ac,Project Management,25,medium
5282,C,ad,Project Management,4,high
5283,D,ae,Engineer,10,high
5284,B,ad,Maintenance,32,medium
5285,B,ad,Project Management,24,medium
5286,A,ac,Project Management,45,low
5287,D,ae,Engineer,11,high
5288,B,ac,Maintenance,44,low
5289,A,ab,Maintenance,45,low
5290,B,ad,Maintenance,27,medium
5291,C,ac,Engineer,31,medium
5292,D,ae,Project Management,15,high
5293,A,ab,Maintenance,39,low
5294,B,ab,Project Management,40,low
5295,C,ac,Project Management,16,medium
5296,D,ae,Engineer,13,high
5297,C,ad,Project Management,10,high
5298,D,ac,Project Management,10,high
5299,C,ac,Maintenance,21,medium
5300,D,ae,Project Management,13,high
5301,D,ad,Engineer,6,high
5302,D,ad,Project Management,11,high
5303,C,ad,Engineer,8,high
5304,D,ad,Project Management,19,high
5305,D,ac,Project Management,5,high
5306,D,ae,Engineer,13,high
5307,B,ab,Project Management,31,low
5308,B,aa,Maintenance,32,low
5309,B,ac,Engineer,19,medium
5310,C,ab,Engineer,22,medium
5311,A,ac,Project Management,34,low
5312,C,ad,Maintenance,30,medium
5313,B,ac,Engineer,22,medium
5314,A,ab,Maintenance,47,low
5315,C,ac,Engineer,12,high
5316,D,ac,Project Management,16,high
5317,A,aa,Maintenance,52,low
5318,D,ae,Project Management,6,high
5319,A,ac,Maintenance,44,low
5320,A,ac,Maintenance,30,low
5321,B,ab,Engineer,32,medium
5322,C,ad,Engineer,24,medium
5323,B,ac,Maintenance,28,low
5324,B,ad,Project Management,19,medium
5325,D,ae,Project Management,16,high
5326,B,ad,Maintenance,15,medium
5327,B,ac,Maintenance,28,medium
5328,D,ad,Project Management,12,high
5329,B,ab,Engineer,18,medium
5330,D,ad,Engineer,15,high
5331,A,ab,Project Management,34,low
5332,C,ad,Engineer,18,high
5333,A,aa,Maintenance,32,low
5334,B,ab,Maintenance,37,low
5335,A,ac,Maintenance,33,low
5336,C,ac,Project Management,17,high
5337,B,aa,Maintenance,52,low
5338,D,ad,Project Management,20,high
5339,C,ab,Maintenance,29,medium
5340,C,ad,Project Management,35,medium
5341,A,aa,Maintenance,34,low
5342,C,ac,Engineer,24,medium
5343,B,ac,Project Management,15,medium
5344,B,ac,Engineer,22,medium
5345,A,aa,Maintenance,42,low
5346,B,ab,Project Management,39,low
5347,D,ac,Project Management,19,high
5348,B,ab,Project Management,32,low
5349,D,ae,Project Management,7,high
5350,C,ab,Maintenance,35,medium
5351,C,ac,Engineer,21,medium
5352,D,ad,Project Management,18,high
5353,C,ac,Engineer,4,high
5354,B,ac,Maintenance,15,medium
5355,C,ab,Engineer,34,medium
5356,C,ad,Engineer,3,high
5357,B,ac,Maintenance,46,low
5358,D,ac,Project Management,12,high
5359,C,ab,Maintenance,34,medium
5360,C,ae,Engineer,11,high
5361,D,ac,Project Management,3,high
5362,B,ac,Maintenance,32,low
5363,C,ac,Project Management,35,medium
5364,B,ac,Project Management,24,medium
5365,B,ac,Engineer,26,medium
5366,B,ab,Project Management,35,medium
5367,A,ac,Maintenance,28,low
5368,C,ac,Project Management,33,medium
5369,D,ac,Engineer,17,high
5370,B,ac,Maintenance,33,low
5371,A,aa,Maintenance,37,low
5372,B,ad,Project Management,26,medium
5373,C,ab,Project Management,28,medium
5374,C,ac,Maintenance,28,medium
5375,B,aa,Maintenance,37,low
5376,B,ac,Maintenance,38,low
5377,B,ac,Project Management,20,medium
5378,C,ae,Project Management,9,high
5379,C,ac,Project Management,16,high
5380,B,ac,Maintenance,32,medium
5381,C,ab,Maintenance,32,medium
5382,B,ac,Engineer,29,medium
5383,C,ac,Engineer,4,high
5384,C,ad,Engineer,11,high
5385,A,ab,Maintenance,48,low
5386,B,ac,Project Management,39,low
5387,C,ac,Project Management,19,high
5388,C,ad,Engineer,30,medium
5389,A,ab,Project Management,39,low
5390,B,ac,Engineer,29,medium
5391,B,ad,Project Management,16,medium
5392,B,ad,Project Management,15,medium
5393,A,ab,Maintenance,30,low
5394,D,ac,Project Management,19,high
5395,A,ab,Maintenance,36,low
5396,B,ac,Engineer,18,medium
5397,B,ab,Project Management,30,medium
5398,A,aa,Project Management,45,low
5399,D,ad,Project Management,13,high
5400,A,aa,Maintenance,36,low
5401,C,ae,Project Management,7,high
5402,C,ab,Engineer,35,medium
5403,C,ac,Project Management,20,medium
5404,B,aa,Maintenance,52,low
5405,A,ac,Project Management,45,low
5406,B,ac,Project Management,16,medium
5407,C,ae,Project Management,4,high
5408,C,ac,Project Management,28,medium
5409,C,ae,Project Management,13,high
5410,C,ac,Engineer,12,high
5411,B,ac,Maintenance,34,low
5412,D,ad,Project Management,19,high
5413,A,ab,Project Management,46,low
5414,C,ac,Project Management,17,medium
5415,B,aa,Project Management,51,low
5416,D,ad,Project Management,14,high
5417,C,ad,Project Management,33,medium
5418,B,ab,Maintenance,36,low
5419,B,ab,Maintenance,21,medium
5420,D,ad,Engineer,5,high
5421,C,ac,Engineer,33,medium
5422,A,ac,Maintenance,47,low
5423,B,ac,Maintenance,32,low
5424,B,ac,Project Management,36,low
5425,A,aa,Maintenance,48,low
5426,D,ae,Project Management,19,high
5427,A,ab,Project Management,35,low
5428,B,ac,Maintenance,41,low
5429,B,ad,Maintenance,28,medium
5430,B,ad,Engineer,27,medium
5431,A,ab,Project Management,44,low
5432,B,aa,Maintenance,35,low
5433,D,ad,Project Management,17,high
5434,B,aa,Project Management,45,low
5435,C,ad,Maintenance,30,medium
5436,C,ad,Engineer,18,medium
5437,A,ab,Maintenance,42,low
5438,D,ac,Engineer,4,high
5439,B,ac,Project Management,21,medium
5440,B,ac,Project Management,40,low
5441,B,ad,Engineer,28,medium
5442,A,ab,Maintenance,31,low
5443,C,ac,Maintenance,33,medium
5444,A,ac,Maintenance,47,low
5445,B,ab,Project Management,18,medium
5446,C,ab,Project Management,17,medium
5447,B,ac,Maintenance,32,medium
5448,D,ad,Project Management,5,high
5449,B,ac,Project Management,45,low
5450,C,ac,Maintenance,20,medium
5451,C,ac,Project Management,22,medium
5452,B,ab,Engineer,21,medium
5453,B,ad,Engineer,20,medium
5454,B,aa,Maintenance,39,low
5455,A,ab,Project Management,45,low
5456,B,ab,Maintenance,24,medium
5457,C,ab,Maintenance,27,medium
5458,B,aa,Maintenance,41,low
5459,C,ad,Maintenance,33,medium
5460,D,ac,Project Management,3,high
5461,B,ac,Maintenance,34,medium
5462,A,ac,Maintenance,37,low
5463,C,ad,Engineer,15,medium
5464,A,ac,Maintenance,47,low
5465,D,ac,Engineer,7,high
5466,D,ad,Engineer,3,high
5467,D,ae,Engineer,20,high
5468,B,ac,Maintenance,28,low
5469,B,ab,Project Management,33,medium
5470,A,aa,Maintenance,50,low
5471,A,aa,Maintenance,44,low
5472,D,ad,Engineer,9,high
5473,C,ab,Maintenance,27,medium
5474,D,ae,Project Management,13,high
5475,C,ad,Maintenance,28,medium
5476,B,ab,Project Management,35,low
5477,B,ad,Engineer,27,medium
5478,D,ae,Engineer,21,high
5479,D,ae,Engineer,9,high
5480,C,ad,Maintenance,33,medium
5481,B,ac,Project Management,20,medium
5482,A,ab,Maintenance,31,low
5483,C,ac,Engineer,12,high
5484,C,ad,Project Management,11,high
5485,A,ab,Maintenance,33,low
5486,A,aa,Maintenance,51,low
5487,C,ab,Project Management,32,medium
5488,B,ab,Maintenance,39,low
5489,B,ac,Engineer,18,medium
5490,B,aa,Maintenance,29,low
5491,C,ac,Engineer,17,medium
5492,B,ab,Engineer,35,medium
5493,B,ac,Maintenance,47,low
5494,B,aa,Project Management,49,low
5495,C,ad,Maintenance,22,medium
5496,C,ae,Project Management,12,high
5497,B,ad,Maintenance,22,medium
5498,D,ae,Engineer,20,high
5499,C,ad,Engineer,35,medium
5500,C,ae,Engineer,11,high
5501,B,ac,Project Management,36,low
5502,B,ad,Maintenance,16,medium
5503,A,ac,Maintenance,28,low
5504,D,ae,Engineer,14,high
5505,B,ac,Project Management,19,medium
5506,B,ab,Project Management,38,low
5507,B,ac,Project Management,43,low
5508,A,aa,Maintenance,35,low
5509,C,ab,Project Management,28,medium
5510,B,ab,Maintenance,43,low
5511,B,ab,Project Management,37,low
5512,D,ac,Project Management,7,high
5513,D,ad,Engineer,4,high
5514,B,aa,Project Management,29,low
5515,B,ac,Project Management,37,low
5516,B,ab,Project Management,34,medium
5517,B,ad,Project Management,16,medium
5518,A,ac,Project Management,49,low
5519,C,ac,Project Management,6,high
5520,D,ac,Engineer,9,high
5521,B,ab,Project Management,29,low
5522,B,ad,Project Management,23,medium
5523,B,ab,Maintenance,46,low
5524,B,ab,Engineer,33,medium
5525,C,ab,Maintenance,19,medium
5526,A,ab,Maintenance,29,low
